measure, group, value, type
Total Number of Families, All, 186, total
Total Number of Families, White, 124, total
Total Number of Families, Hispanic, 28, total
Total Number of Families, Black, 20, total
Total Number of Families, Other, 14, total
Exclusion of employer cont. for medical insurance and care, All, 225, total
Exclusion of employer cont. for medical insurance and care, White, 186, total
Exclusion of employer cont. for medical insurance and care, Hispanic, 21, total
Exclusion of employer cont. for medical insurance and care, Black, 11, total
Exclusion of employer cont. for medical insurance and care, Other, 8, total
Preferential rates capital gains and dividends, All, 146, total
Preferential rates capital gains and dividends, White, 135, total
Preferential rates capital gains and dividends, Hispanic, 4, total
Preferential rates capital gains and dividends, Black, 2, total
Preferential rates capital gains and dividends, Other, 5, total
Child credit (including outlay), All, 113, total
Child credit (including outlay), White, 75, total
Child credit (including outlay), Hispanic, 24, total
Child credit (including outlay), Black, 10, total
Child credit (including outlay), Other, 4, total
Deductibility of charitable contributions, All, 71, total
Deductibility of charitable contributions, White, 64, total
Deductibility of charitable contributions, Hispanic, 2, total
Deductibility of charitable contributions, Black, 2, total
Deductibility of charitable contributions, Other, 2, total
Earned income tax credit (including outlay), All, 67, total
Earned income tax credit (including outlay), White, 33, total
Earned income tax credit (including outlay), Hispanic, 19, total
Earned income tax credit (including outlay), Black, 13, total
Earned income tax credit (including outlay), Other, 3, total
Allow 20-percent deduction to QBI, All, 57, total
Allow 20-percent deduction to QBI, White, 51, total
Allow 20-percent deduction to QBI, Hispanic, 3, total
Allow 20-percent deduction to QBI, Black, 1, total
Allow 20-percent deduction to QBI, Other, 2, total
Premium assistance tax credit (including outlays), All, 36, total
Premium assistance tax credit (including outlays), White, 24, total
Premium assistance tax credit (including outlays), Hispanic, 6, total
Premium assistance tax credit (including outlays), Black, 3, total
Premium assistance tax credit (including outlays), Other, 3, total
Deductibility of mortgage interest, All, 31, total
Deductibility of mortgage interest, White, 26, total
Deductibility of mortgage interest, Hispanic, 2, total
Deductibility of mortgage interest, Black, 1, total
Deductibility of mortgage interest, Other, 1, total
Total Number of Families, All, 100, share
Total Number of Families, White, 67, share
